Strict Extent,Relaxed Extent,Relaxed Type,Relaxed Unit,F1 Val,index
71.27666666666667,84.92,68.12,73.37666666666667,48.97,10
71.98,85.93666666666667,76.20333333333333,73.83999999999999,55.18,20
74.56,86.50333333333333,78.97,75.86666666666666,61.34666666666667,30
72.26666666666667,85.14999999999999,80.15333333333334,76.21333333333334,62.54,40
75.36666666666666,87.68,80.51,75.63666666666667,61.28666666666666,50
75.71666666666667,87.79333333333334,80.86,76.24333333333333,61.35666666666666,60
76.03333333333335,87.11,80.67,76.28333333333335,63.403333333333336,70
75.69666666666667,87.50333333333333,80.55666666666666,74.66333333333334,61.31666666666666,80
73.67666666666666,85.93,79.67999999999999,74.20666666666666,64.06,90
71.57666666666667,85.26333333333334,78.95,71.58,61.31,100
